"Kod";"Nazwa";"z gospodarstw domowych;2003;[t]";"z gospodarstw domowych;2004;[t]";"z gospodarstw domowych;2005;[t]";"z gospodarstw domowych;2006;[t]";"z gospodarstw domowych;2007;[t]";"z gospodarstw domowych;2008;[t]";"z gospodarstw domowych;2009;[t]";"z gospodarstw domowych;2010;[t]";"z gospodarstw domowych;2011;[t]";"z gospodarstw domowych;2012;[t]";"z gospodarstw domowych;2013;[t]";"z gospodarstw domowych;2014;[t]";"z gospodarstw domowych;2015;[t]";"z gospodarstw domowych;2016;[t]";"z gospodarstw domowych;2017;[t]";"z gospodarstw domowych;2018;[t]";"z gospodarstw domowych;2019;[t]";"z gospodarstw domowych;2020;[t]";"z gospodarstw domowych;2021;[t]";"z gospodarstw domowych;2022;[t]";"z gospodarstw domowych;2023;[t]";
0200000;"DOLNOŚLĄSKIE";684465,80;671868,31;646346,20;662384,36;692233,02;645656,31;675447,69;696597,08;704889,07;680250,35;641313,69;743746,24;793972,60;843595,60;891772,69;961879,47;1019580,60;1026685,39;1129418,83;1094595,47;1074062,46;
0400000;"KUJAWSKO-POMORSKIE";347260,20;344522,49;329561,10;363262,64;383738,61;368715,82;379257,46;377771,72;387927,93;389370,11;397693,19;436864,43;473396,50;486914,00;522047,94;539157,48;560824,74;600437,65;621261,60;597699,48;595889,42;
0600000;"LUBELSKIE";287258,50;237286,96;255231,80;269834,13;272808,87;283021,45;253945,03;253449,96;245243,78;247567,51;264307,02;296988,74;302335,20;341997,90;357155,25;385126,57;404733,58;436217,35;448496,98;425118,81;429869,48;
0800000;"LUBUSKIE";221259,50;210049,37;210918,80;213094,40;182434,75;216581,60;224601,44;210681,17;204148,57;211162,10;229777,98;244930,82;259897,30;277594,10;288819,41;303284,30;320995,64;330950,17;344799,99;336204,24;342913,49;
1000000;"ŁÓDZKIE";457328,90;416580,48;402596,40;438743,31;443377,53;431782,80;448868,46;468637,60;408606,46;413922,54;426432,17;541767,35;551279,90;577410,70;604539,40;660474,04;700971,62;713929,74;731624,48;699164,17;696443,83;
1200000;"MAŁOPOLSKIE";414971,80;416254,02;413999,10;448132,92;466922,39;471978,70;487919,71;479240,98;486689,00;473496,85;520429,29;650593,65;677659,40;844919,00;882045,02;929164,43;943227,17;1011917,81;1050399,37;1040086,90;1075659,34;
1400000;"MAZOWIECKIE";914414,90;997454,16;947410,40;1081662,27;1178281,04;1077145,28;988149,66;980111,55;942190,01;936185,51;985548,88;1141043,67;1452772,40;1542060,40;1578532,22;1579913,75;1520678,27;1652279,77;1673691,36;1729376,97;1775763,18;
1600000;"OPOLSKIE";210614,80;210928,64;199321,90;206775,07;213074,33;193096,06;209043,48;205257,84;202985,95;198026,12;200556,52;223645,07;230297,90;243715,80;265588,27;275427,32;293204,00;329224,22;333050,18;314456,30;311686,34;
1800000;"PODKARPACKIE";303570,40;270738,78;251926,50;263203,92;249609,24;260640,84;242263,77;244827,75;255529,13;255790,56;255113,12;284686,36;328478,00;354437,40;367100,76;405708,69;418041,76;409518,02;430763,76;413484,61;419687,57;
2000000;"PODLASKIE";250126,20;217316,33;195123,80;200036,80;186065,60;176585,71;174738,40;182087,52;194438,85;188231,00;199482,80;222029,06;238520,30;243208,70;235282,60;251769,34;282785,78;298029,31;306277,29;294098,12;291070,35;
2200000;"POMORSKIE";393496,30;394189,17;380193,90;398704,79;413608,21;437614,29;454545,46;455303,35;443070,93;456428,48;493839,79;522359,73;547584,60;583690,10;643191,15;660259,41;706231,07;705903,94;776298,89;794320,20;767974,43;
2400000;"ŚLĄSKIE";928453,40;935689,83;934085,80;975512,99;989366,60;965582,50;998708,45;964573,59;977519,99;1001525,68;1058623,79;1289442,89;1283597,90;1354306,70;1373174,49;1457371,77;1494438,47;1562703,85;1575582,18;1504324,08;1477524,36;
2600000;"ŚWIĘTOKRZYSKIE";132612,80;128520,73;140643,30;153036,98;149360,22;143949,68;143621,02;133562,45;141609,06;124155,36;125674,42;156747,15;165264,50;174076,20;176497,73;192728,04;228401,99;275674,22;288866,22;285361,40;293651,26;
2800000;"WARMIŃSKO-MAZURSKIE";243083,00;239058,59;211322,50;234152,24;239894,45;248222,51;234486,39;239079,31;237687,24;233516,35;264202,84;283663,30;303558,70;334056,20;327287,26;341829,94;339753,23;351747,41;372081,62;367846,73;352315,63;
3000000;"WIELKOPOLSKIE";781554,30;700133,55;615415,80;621277,37;611283,40;606151,86;624873,00;643687,50;654021,11;659149,21;707107,36;801842,41;855064,40;913228,50;986854,71;1025274,37;1046760,87;1078511,71;1120908,65;1155871,06;1189541,17;
3200000;"ZACHODNIOPOMORSKIE";408355,90;377618,20;359277,60;356182,31;368386,51;352517,71;366767,17;357071,91;357806,84;351811,04;368416,18;399462,07;425083,30;449286,00;471330,83;476438,70;495803,36;504552,46;528758,81;531800,21;515576,75;
