Nazwa,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
DOLNOSLASKIE,934.68,925.53,893.09,918.45,975.72,928.48,990.11,994.42,914.94,902.43,853.74,943.37,987.21,1049.4,1086.24,1142.08,1173,1159.91,1261.84,1220.22,1196.46
KUJAWSKO-POMORSKIE,451.52,446.69,445.78,482.15,515.26,511.96,523.76,514.75,524.77,515.15,514.95,545.65,592.88,599.28,637.58,665.78,689.35,713.54,733.33,717.18,715.42
LUBELSKIE,358.93,312.67,338.11,364.74,374.4,372.38,331.92,337.77,345.35,346.58,348.42,381.72,384.76,419.43,439.93,470.2,494.37,521.85,543.1,519.4,519.04
LUBUSKIE,307.36,283.92,279.88,289,267.18,309.54,318.33,297.31,299.18,304.07,313.1,327.78,334.31,352.32,366.26,366.6,384.5,389.75,403.19,391.14,399.53
LODZKIE,669.75,661.32,639.38,769.44,695.62,626.21,633.48,665.2,633.4,621.21,575.75,642.05,657.59,684.97,705.88,788.5,818.99,850.66,876.16,849.02,844.77
MALOPOLSKIE,606.98,611.31,630.01,684.26,724.67,735.08,764.96,766.38,750.75,711.78,702.04,764.23,795.54,975.45,1004.53,1073.43,1078.78,1130.32,1177.43,1155.58,1184.95
MAZOWIECKIE,1542.45,1610.19,1500.02,1543.31,1668.73,1681.9,1556.91,1572.57,1449.9,1376.13,1331.62,1398.76,1659.64,1758.87,1776.95,1811.83,1736.17,1879.21,1970.63,1973.81,2046
OPOLSKIE,272.08,270.65,254.57,250.58,270.05,250.02,267.71,260.16,256.77,246.96,247.98,268.39,278.45,294.59,313.92,322.62,333.33,371.64,378.27,360.67,360.79
PODKARPACKIE,419.56,378.92,346.29,358.98,351.08,363.81,359.19,359.81,376.72,367.65,357.58,380.48,417.54,446.07,463.56,497.52,514.35,501.67,523.35,505.25,505.7
PODLASKIE,323.11,292.95,267.99,277.57,262.22,246.99,246.55,242.94,252.13,241.89,251.71,274.93,286.43,290.85,278.67,298.96,334.05,338.87,350.73,339.19,336.16
POMORSKIE,556.17,612.18,587.35,619.35,662.77,680.79,698.82,683.47,675.34,646.03,644.79,694.84,702.95,761.2,803.65,826.65,868.88,830.04,910.23,903.98,877.66
SLASKIE,1353.24,1304.11,1306.6,1380.14,1388.24,1358.03,1394.04,1380.16,1360.49,1351.4,1347.84,1551.67,1519.75,1618.44,1600.72,1664.06,1700.94,1780.47,1795.02,1713.14,1690.2
SWIETOKRZYSKIE,182.15,179.17,185.42,199.54,206.78,206.71,207.22,199.52,195.63,181.4,169.7,199,209.1,230.68,234.43,250.08,286.45,315,328.34,325.34,331.95
WARMINSKO-MAZURSKIE,331.06,338.65,313.07,335.02,329.66,342.54,323.47,328.22,327.1,323.13,345.32,363.27,390.11,434.41,423.71,441.39,435.84,432.3,447.75,438.28,420.83
WIELKOPOLSKIE,1051.9,1002.69,862.07,896.95,865.13,888.97,897.84,915.06,928.38,933.85,949.77,1044.82,1070.42,1132.3,1194.14,1223.73,1240.34,1254.68,1296.6,1331.13,1362.28
ZACHODNIOPOMORSKIE,563.67,528.36,502.49,507.12,525.07,533,539.2,522.37,536.8,511.2,519.51,549.44,576.81,606.08,638.53,641.99,663.44,646.98,677.61,676.96,656.17
